Time (UTC),Altitude,Wind Speed Avg (km/h),Wind Speed Min (km/h),Wind Speed Max (km/h),Wind Heading (degrees),Wind Ts,Score
2024-01-14 14:01:26,435,8.25,5.25,11.5,225.0,2024-01-14 14:02:55,26
2024-01-14 14:05:28,474,7.75,5.0,10.0,225.0,2024-01-14 14:07:58,14
2024-01-14 14:14:15,460,8.5,4.75,12.5,225.0,2024-01-14 14:12:58,0
2024-01-14 14:16:16,470,7.0,4.75,8.75,225.0,2024-01-14 14:18:01,10
2024-01-14 14:44:16,457,9.75,5.5,12.5,225.0,2024-01-14 14:43:07,0
2024-01-14 14:46:17,470,8.25,6.5,10.5,225.0,2024-01-14 14:48:10,13
2024-02-04 10:51:32,492,17.0,10.5,23.0,225.0,2024-02-04 10:53:01,21
2024-02-04 10:55:34,483,16.5,12.0,22.5,225.0,2024-02-04 10:58:03,0
2024-02-04 11:01:37,469,17.0,11.5,24.0,225.0,2024-02-04 11:03:03,7
2024-02-04 11:05:39,453,16.0,12.5,21.5,225.0,2024-02-04 11:08:06,32
2024-02-04 11:11:42,584,19.5,14.5,25.5,225.0,2024-02-04 11:13:06,114
2024-02-04 11:15:44,543,15.0,9.5,20.0,225.0,2024-02-04 11:18:10,58
2024-02-04 11:21:47,547,16.0,10.5,21.5,225.0,2024-02-04 11:23:10,76
2024-02-04 11:27:50,527,15.5,10.0,20.0,247.5,2024-02-04 11:29:09,0
2024-02-04 11:31:52,486,15.5,11.0,21.0,225.0,2024-02-04 11:34:09,14
2024-02-04 12:01:50,469,15.0,10.5,20.5,225.0,2024-02-04 12:04:18,3
2024-02-04 12:07:53,466,12.0,9.0,16.0,225.0,2024-02-04 12:09:21,0
2024-02-04 12:11:55,464,17.0,10.5,23.0,202.5,2024-02-04 12:14:21,7
2024-02-04 12:17:50,463,16.0,9.25,20.0,225.0,2024-02-04 12:19:25,21
2024-02-04 12:29:51,471,12.5,8.5,19.5,225.0,2024-02-04 12:29:28,4
2024-02-04 12:33:53,466,16.0,10.0,22.5,225.0,2024-02-04 12:34:28,0
2024-02-04 12:39:18,466,14.0,9.25,19.5,225.0,2024-02-04 12:39:30,0
2024-02-04 12:47:58,449,16.0,11.5,21.0,225.0,2024-02-04 12:49:34,30
2024-02-04 12:54:01,545,17.5,13.0,22.5,225.0,2024-02-04 12:54:34,49
2024-02-04 12:58:03,499,15.5,11.5,19.5,225.0,2024-02-04 12:59:37,2
2024-02-04 13:04:06,482,15.5,10.5,21.5,225.0,2024-02-04 13:04:37,10
2024-02-04 13:08:08,507,15.5,8.5,22.0,247.5,2024-02-04 13:09:39,15
2024-02-04 13:12:10,473,16.0,11.0,22.0,225.0,2024-02-04 13:14:39,0
2024-02-04 13:18:13,467,14.5,10.0,20.0,225.0,2024-02-04 13:19:43,5
2024-02-04 13:25:30,460,12.5,7.25,18.5,225.0,2024-02-04 13:24:43,7
2024-02-04 13:46:31,476,13.0,8.0,18.5,202.5,2024-02-04 13:44:49,5
2024-02-04 13:48:32,493,15.5,10.0,24.0,202.5,2024-02-04 13:49:52,20
2024-02-04 13:52:34,493,17.0,11.0,26.0,225.0,2024-02-04 13:54:52,19
2024-02-04 13:58:37,493,16.0,11.5,20.0,225.0,2024-02-04 13:59:55,0
2024-02-04 14:02:39,465,14.5,11.0,20.5,225.0,2024-02-04 14:04:55,22
2024-02-04 14:08:42,493,15.0,11.0,19.5,225.0,2024-02-04 14:09:58,18
2024-02-04 14:12:44,510,17.5,11.0,22.5,225.0,2024-02-04 14:14:58,9
2024-02-04 14:18:47,500,15.0,10.0,25.0,247.5,2024-02-04 14:20:01,15
2024-02-04 14:22:49,541,18.5,13.0,27.0,247.5,2024-02-04 14:25:01,37
2024-02-04 14:28:52,461,17.5,10.0,22.0,247.5,2024-02-04 14:30:03,11
2024-02-04 14:32:54,476,13.0,5.75,19.0,225.0,2024-02-04 14:35:03,8
2024-02-04 15:19:01,463,10.5,6.25,15.0,225.0,2024-02-04 15:20:19,7
2024-02-04 15:25:09,470,12.5,8.25,16.5,225.0,2024-02-04 15:25:19,0
2024-02-04 15:30:48,431,12.0,7.0,16.0,225.0,2024-02-04 15:30:23,0
2024-02-11 11:44:42,512,13.0,9.25,19.5,225.0,2024-02-11 11:42:28,35
2024-02-11 11:46:43,504,13.5,6.0,19.5,247.5,2024-02-11 11:47:28,19
2024-02-11 11:50:45,545,16.0,11.5,21.5,225.0,2024-02-11 11:52:31,22
